date,lizard,freq,time,lat. ,long,ground,mesohabitat,microhabitat.simple,microhabitat,behavior,observing,comment
7-Jul,a,0,10:55,35.11691,-119.62386,above ,open,bare,rock,sun,0,"on top of milk jug sized rock near small dead shrub, eyes partly closed"
7-Jul,a,0,11:14,35.11691,-119.62386,above ,open,bare,rock,sun,0,moved back to rock eyes partly closed
7-Jul,a,0,11:20,35.11691,-119.62386,above ,open,bare,rock,sun,0,"eyes still closed but moving head to different positions, eyes squinting possibly for sun glare"
7-Jul,a,0,11:12,35.11693,-119.62384,above ,shrub,shrub,shrub edge,sun,0,"moved towards shrub in sun, eyes still partly closed, may have seen insect, tail and body slightly lifted"
7-Jul,a,0,11:52,35.11691,-119.62386,above ,open ,bare,rock,sun,1,still occasionally moving head so may be observing and squinting for sun
16-Jul,a,0,11:13,35.11867,-119.6238,above ,open,bare,trail,sun,1,lizard moved along trail towards me then jumped on my knee before running back to shrub
16-Jul,a,0,10:53,35.11862,-119.62382,above ,shrub,shrub,undershrub,thermo,1,
16-Jul,a,0,11:20,35.1185,-119.62403,below,open,burrow,burrow,stand,0,
16-Jul,a,0,11:39,35.1185,-119.62403,below,open,burrow,burrow,stand,0,
16-Jul,a,0,10:39,35.11855,-119.6237,above ,open,annuals,annuals,sun,1,perched on annuals
16-Jul,a,0,10:46,35.11856,-119.62366,above ,open,annuals,annuals,sun,1,
16-Jul,a,0,10:44,35.11855,-119.62366,above ,open,annuals,annuals,sun,1,moved to new annuals looking around
16-Jul,a,0,11:18,35.1185,-119.62403,above ,shrub,shrub,undershrub,thermo,1,tiny goldenbush
17-Jul,a,0,10:12,35.11823,-119.62381,above,open,annuals,annuals,hunt,1,alerted to grasshopper
17-Jul,a,0,10:39,35.11824,-119.62361,above,open,annuals,annuals,hunt,1,"failed grasshopper hunt - jumped on shrub twig, now back on ground, observing in open sun"
17-Jul,a,0,10:14,35.11828,-119.62364,above,open,bare,barepatch,hunt,1,"ate bug off ground, obs on mound of bare ground"
17-Jul,a,0,10:09,35.11823,-119.62381,above,open,bare,trail,move,0,moving on trail
17-Jul,a,0,10:07,35.11823,-119.62381,above,open,annuals,annuals,move,0,moving  - stopped to bask in open
17-Jul,a,0,10:33,35.11824,-119.62361,above,open,annuals,annuals,obs,1,"open, observing"
17-Jul,a,0,10:42,35.11821,-119.62351,above,open,annuals,annuals,obs,1,"perched on shizmas grass, observing"
17-Jul,a,0,10:43,35.11818,-119.62348,above,shrub,shrub,in shrub,obs,1,"jumped and perched on small shrub, observing"
17-Jul,a,0,9:56,35.11824,-119.62388,above,open,bare,rock,obs,1,"moving from shrub to shrub, perched on rock in sun"
17-Jul,a,0,9:48,35.11826,-119.62387,above,open,annuals,annuals,sun,0,396
17-Jul,a,0,9:52,35.11826,-119.62387,above,shrub,shrub,undershrub,thermo,0,"moved to part shade, thermo"
12-Jul,b,180,9:42,35.11572,-119.61806,below,open,burrow,burrow,stand,0,371
19-Jun,c,220,13:15,35.11597,-119.61857,above ,shrub,shrub,dead stump,obs,1,perched on dead branch
19-Jun,c,220,13:15,35.11597,-119.61857,above ,shrub,shrub,dead stump,obs,1,
19-Jun,c,220,13:20,35.11597,-119.61857,above ,shrub,shrub,dead stump,obs,1,trying several different positions on stump
19-Jun,c,220,13:21,35.11597,-119.61857,above ,shrub,shrub,dead stump,obs,1,car drove by no disturbance
19-Jun,c,220,13:11,35.11599,-119.61846,above ,open,bare,barepatch,sun,1,
19-Jun,c,220,13:07,35.11599,-119.61846,above ,shrub,shrub,undershrub,thermo,1,in shade on tuft of annuals near shrub
19-Jun,c,220,13:12,35.11599,-119.61846,above ,open,annuals,annual tuft ,sun,1,
19-Jun,c,220,13:05,35.11595,-119.61848,above ,open,road,road,sun,1,
7-Jul,c,220,11:49,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,eyes partly closed
7-Jul,c,220,11:50,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,failed hunting attempt - same location
7-Jul,c,220,11:58,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,facing in 
7-Jul,c,220,12:14,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,facing out
7-Jul,c,220,12:41,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,"climbing ephedra - same bush/location, perched on lower branches in mostly sun - hunting? Watching grasshopper"
7-Jul,c,220,12:47,35.115954,-119.61855,above,shrub,annuals,annuals,thermo,0,"grasshopper flew away, 220 is at about mid level of bush"
12-Jul,c,220,9:46,35.11704,-119.61867,above,open,annuals,annuals,hunt,1,372 - pretty dark colored
12-Jul,c,220,10:06,35.11704,-119.61867,above,open,annuals,annuals,hunt,1,stalking bug on ground
12-Jul,c,220,10:09,35.11704,-119.61867,above,open,annuals,annuals,hunt,1,"lunged at bug, didn’t catch (bug flew away)"
12-Jul,c,220,10:12,35.11704,-119.61867,above,open,annuals,annuals,hunt,1,stalking
12-Jul,c,220,10:29,35.1171,-119.61845,above,open,annuals,annuals,hunt,1,"ate something off ground, same location"
12-Jul,c,220,10:30,35.11708,-119.61845,above,open,annuals,annuals,hunt,1,observed grasshopper on ground and ran over but stopped on the way
12-Jul,c,220,10:31,35.11707,-119.61845,above,open,annuals,annuals,hunt,1,ate bigger darker bug off the ground
12-Jul,c,220,10:13,35.11706,-119.61852,above,open,annuals,annuals,hunt,1,"succesfully caught grasshopper, perched on shizmas"
12-Jul,c,220,10:20,35.11709,-119.61855,above,open,annuals,annuals,hunt,1,"turned around, ran about 2 feet away and quickly ate something on the ground. Then basking in sun, bare ground."
12-Jul,c,220,10:34,35.11709,-119.61839,above,open,annuals,annuals,hunt,1,failed attempt on grasshopper near ..sunning and closing eyes partly and fully
12-Jul,c,220,10:46,35.11709,-119.61839,above,open,bare,rock,obs,1,back to rock
12-Jul,c,220,9:48,35.11704,-119.61867,above,open,annuals,annuals,sun,0,basking - same location
12-Jul,c,220,9:59,35.11704,-119.61867,above,open,annuals,annuals,sun,0,"eyes closed, more tan in color"
12-Jul,c,220,10:23,35.11709,-119.61855,above,open,annuals,annuals,sun,0,moved 2 ft north
12-Jul,c,220,10:24,35.11709,-119.61855,above,open,annuals,annuals,sun,0,"moved back to location at 1013 - basking in sun, open"
12-Jul,c,220,10:26,35.11709,-119.61852,above,open,annuals,annuals,sun,0,
12-Jul,c,220,10:28,35.1171,-119.61845,above,open,annuals,annuals,sun,0,
12-Jul,c,220,10:32,35.11709,-119.61839,above,open,bare,rock,sun,0,perched on top of sunny rock
13-Jul,c,220,10:34,35.1169,-119.6192,above,open,annuals,annuals,hunt,1,ran over and ate a bug off annual
13-Jul,c,220,10:16,35.11687,-119.61925,above,open,annuals,annuals,move,1,"moving - not far, stopped in annuals to bask"
13-Jul,c,220,9:57,35.11687,-119.61921,above,open,annuals,annuals,move,1,moving slowly (starting and stopping) tan in color
13-Jul,c,220,10:36,35.11688,-119.61915,above,shrub,bare,trail,move,1,"ran down trail near small non-ephedra shrub, observing and basking"
13-Jul,c,220,10:25,35.11687,-119.61925,above,open,annuals,annuals,obs,1,moved about one foot east
13-Jul,c,220,10:47,35.11688,-119.61915,above,open,annuals,annuals,obs,1,"perched on shizmas, same location"
13-Jul,c,220,9:47,35.11694,-119.61924,above,open,annuals,annuals,sun,1,perched on shizmas grass - pretty dark in color
7-Jul,d,240,11:24,35.11738,-119.62186,above,open,bare,barehill,hunt,1,340 - lunged at and ate something
7-Jul,d,240,11:27,35.11738,-119.62187,above,open,bare,barehill,obs ,1,341
7-Jul,d,240,10:38,35.11733,-119.62171,above,open,bare,barehill,sun,0,337 - eyes partly closed
7-Jul,d,240,10:44,35.11733,-119.62171,above,open,bare,barehill,sun,0,"same location but lifted left arm, left leg, and body off ground"
7-Jul,d,240,11:06,35.11733,-119.62171,above,open,bare,barehill,sun,0,"on the move, starting and stopping"
7-Jul,d,240,11:10,35.11733,-119.62171,above,open,bare,barehill,sun,0,"338 - moved to part shade under small dead non-Ephedra shrub, thermo "
7-Jul,d,240,11:16,35.11733,-119.62171,above,open,bare,barehill,sun,0,"moving to bare ground, basking, moving in starts and stops"
7-Jul,d,240,11:18,35.11738,-119.62178,above,open,bare,barehill,sun,1,339
7-Jul,d,240,11:38,35.11741,-119.622,above,open,bare,barehill,thermo,0,
7-Jul,d,240,11:29,35.11738,-119.62187,above,open,bare,barehill,thermo,0,"thermo under part shade, dead shrub"
12-Jul,d,240,11:29,35.1171,-119.62097,above,open,annuals,annuals,hunt,1,"turned around, stalking? Waving tail in sun"
12-Jul,d,240,11:40,35.1171,-119.62097,above,open,annuals,annuals,hunt,1,"successful grasshopper - GH walked right up to lizard, same location"
12-Jul,d,240,11:53,35.1171,-119.62097,above,open,annuals,annuals,hunt,1,"failed grasshopper walking by, returned to same spot after lunging"
12-Jul,d,240,11:58,35.1171,-119.62097,above,open,annuals,annuals,hunt,1,"ran into wash about 5 feet away, jumped up and caught grasshopper off dead shrub"
12-Jul,d,240,11:04,35.1171,-119.62097,above,open,wash,washbank,sun,0,375 - slightly darker in color
12-Jul,d,240,11:21,35.1171,-119.62097,above,open,annuals,annuals,thermo,0,"moved to part shade, under annuals, same location, thermo"
12-Jul,d,240,11:31,35.1171,-119.62097,above,open,annuals,annuals,thermo,0,"return to part shade, same location"
12-Jul,d,240,11:43,35.1171,-119.62097,above,open,annuals,annuals,thermo,0,"ran out to catch something about 3 feet away, failed attempt, returned to part shade, same location"
15-Jul,d,240,11:04,35.11295,-119.61945,above,shrub,shrub,shrub edge,hunt,1,"failed attempt on grasshopper next to bush, then returned to shade"
